Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
3256,2oNLCndtam,"Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2",EG-FACTOR25,1,c-factor-2,04/01/2006 12:16,04/01/2006 12:16,04/01/2006 12:16,04/01/2006 12:20,11,,11,0,2,0,3,,
3742,2oNLCndtam,"Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1",EG-S-FACTOR10,1,(9+sqrt(9^2-56))/2 = x,25/01/2006 12:50,25/01/2006 12:50,25/01/2006 12:50,25/01/2006 12:50,4,4,,1,0,0,1,"[SkillRule: Apply Exponent; {Expand Exponents; eval radical; Expand Exponents, radical}]",61
4170,2oNLCndtam,"Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1",NEWQUAD11TRE,1,R4C1,08/03/2006 12:18,08/03/2006 12:19,08/03/2006 12:19,08/03/2006 12:19,8,8,,1,0,0,1,Entering a given~~Entering a given linear value,281~~45
4457,2oNLCndtam,"Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-3",EG-EPS01,3,constant factors1R1,24/03/2006 12:30,24/03/2006 12:30,24/03/2006 12:30,24/03/2006 12:30,1,1,,1,0,0,1,,
4848,2oNLCndtam,"Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-3",EG-EQS02,3,row1-N-x,19/04/2006 12:31,19/04/2006 12:31,19/04/2006 12:31,19/04/2006 12:31,5,5,,1,0,0,1,,
5092,2oNLCndtam,"Unit CTA1_20, Section CTA1_20-2",2PTFB20,1,1.75X = 219.21,03/05/2006 12:40,03/05/2006 12:40,03/05/2006 12:40,03/05/2006 12:40,4,4,,1,0,0,1,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",127~~244
5408,2oNLCndtam,"Unit CTA1_21, Section CTA1_21-3",JAN07,1,R1C2,17/05/2006 12:47,17/05/2006 12:47,17/05/2006 12:47,17/05/2006 12:47,7,7,,1,0,0,1,,
5670,2oNLCndtam,"Unit CTA1_22, Section CTA1_22-1",SYS08,1,R3C1,05/06/2006 12:51,05/06/2006 12:51,05/06/2006 12:51,05/06/2006 12:51,2,2,,1,0,0,1,Define Variable,122
5827,46z59pQP58,"Unit CTA1_01, Section CTA1_01-3",BH1T34A,1,R1C1,16/09/2005 12:31,16/09/2005 12:31,16/09/2005 12:31,16/09/2005 12:31,8,8,,1,0,0,1,,
6061,46z59pQP58,"Unit CTA1_02, Section CTA1_02-2",BH1T21A,2,YUnit,29/09/2005 12:51,29/09/2005 12:51,29/09/2005 12:52,29/09/2005 12:52,35,,35,0,2,0,1,,
6400,46z59pQP58,"Unit ES_01, Section ES_01-9",EG25,1,y/9 = 7,14/10/2005 12:32,14/10/2005 12:32,14/10/2005 12:32,14/10/2005 12:32,13,13,,1,0,0,1,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",12~~19
6662,46z59pQP58,"Unit CTA1_04, Section CTA1_04-4",L5FB04B,1,R5C1,26/10/2005 12:39,26/10/2005 12:39,26/10/2005 12:39,26/10/2005 12:39,23,23,,1,0,0,1,Entering a given,165
6870,46z59pQP58,"Unit ES_02, Section ES_02-6",EG40,2,6/7 = 7x/7,02/11/2005 12:29,02/11/2005 12:29,02/11/2005 12:29,02/11/2005 12:30,27,,27,0,1,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],8
7112,46z59pQP58,"Unit CTA1_13, Section CTA1_13-1",PROP01,1,R7C2,09/11/2005 12:30,09/11/2005 12:30,09/11/2005 12:30,09/11/2005 12:30,4,4,,1,0,0,1,Entering a given,205
7618,46z59pQP58,"Unit CTA1_06, Section CTA1_06-5",FBSMR1,1,15X = 3.75,29/11/2005 12:33,29/11/2005 12:34,29/11/2005 12:34,29/11/2005 12:34,11,11,,1,0,0,1,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",94~~139
7971,46z59pQP58,"Unit ES_03, Section ES_03-8",LIT10A,1,constant terms1R1,14/12/2005 12:48,14/12/2005 12:48,14/12/2005 12:49,14/12/2005 12:49,7,,7,0,2,0,1,,
8220,46z59pQP58,"Unit CTA1_08, Section CTA1_08-3",DEC04,2,YLabel,11/01/2006 12:18,11/01/2006 12:18,11/01/2006 12:18,11/01/2006 12:18,32,32,,1,0,0,1,Labelling the axes,97
8595,46z59pQP58,"Unit ES_04, Section ES_04-13",LIT33,1,17/w*w = b*w,01/02/2006 12:35,01/02/2006 12:35,01/02/2006 12:35,01/02/2006 12:35,6,6,,1,0,0,1,,
9098,46z59pQP58,"Unit CTA1_10, Section CTA1_10-3",DISTFB06_SP,1,0.3(X-100000) = 1000000,22/03/2006 12:57,22/03/2006 12:57,22/03/2006 12:57,22/03/2006 12:57,9,9,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",111
9887,46z59pQP58,"Unit ES_07, Section ES_07-6",LIT78A,6,di-expr,01/06/2006 12:24,01/06/2006 12:24,01/06/2006 12:24,01/06/2006 12:26,6,6,,1,0,0,2,,
9932,46z59pQP58,"Unit CTA1_12, Section CTA1_12-1",LDEMO_SYS,2,R4C2,05/06/2006 12:45,05/06/2006 12:46,,05/06/2006 12:46,61,,61,0,1,0,0,"Using simple numbers~~Using large numbers~~Find Y, positive slope",256~~147~~50
10039,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP01,1,2/300*X = 10,14/09/2005 12:42,14/09/2005 12:42,14/09/2005 12:42,14/09/2005 12:42,3,3,,1,0,0,1,,
10482,52vEY7f17k,"Unit CTA1_06, Section CTA1_06-3",FOR05,1,xScale,30/09/2005 12:39,30/09/2005 12:39,30/09/2005 12:39,30/09/2005 12:39,6,6,,1,0,0,2,Changing axis intervals,28
11024,52vEY7f17k,"Unit ES_03, Section ES_03-6",EG52,1,2.9 = -2x+3.7+x,26/10/2005 12:20,26/10/2005 12:20,26/10/2005 12:20,26/10/2005 12:21,11,11,,1,0,0,2,"[SkillRule: Consolidate vars, no coeff; CLT]",27
11476,52vEY7f17k,"Unit CTA1_08, Section CTA1_08-3",REAL10,1,yScale,16/11/2005 12:28,16/11/2005 12:28,16/11/2005 12:28,16/11/2005 12:28,2,2,,1,0,0,2,Changing axis intervals,65
11948,52vEY7f17k,"Unit ES_04, Section ES_04-12",EG58,7,xR2,13/01/2006 12:23,13/01/2006 12:23,13/01/2006 12:23,13/01/2006 12:23,6,6,,1,0,0,1,,
12532,52vEY7f17k,"Unit CTA1_10, Section CTA1_10-5",DIST05_SP,1,R1C2,24/03/2006 12:26,24/03/2006 12:26,24/03/2006 12:26,24/03/2006 12:26,13,,13,0,1,0,1,,
12955,52vEY7f17k,"Unit ES_07, Section ES_07-4",LIT69A,4,z*u-n*j+z*g = 16n,22/05/2006 12:50,22/05/2006 12:51,,22/05/2006 12:51,34,,34,0,0,1,0,"[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}]",42
13056,5ey2xUDZTA,"Unit CTA1_01, Section CTA1_01-1",LDEMO_WKST,1,R2C2,07/09/2005 12:48,07/09/2005 12:49,07/09/2005 12:49,07/09/2005 12:49,61,61,,1,0,0,1,Identifying units,2
13516,5ey2xUDZTA,"Unit CTA1_14, Section CTA1_14-4",2PTFB18,1,R7C2,05/10/2005 12:31,05/10/2005 12:31,05/10/2005 12:31,05/10/2005 12:31,6,6,,1,0,0,1,"Find Y, Simple~~Using simple numbers~~Using small numbers",4~~72~~58
13772,5ey2xUDZTA,"Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2",YGE4X-11,2,xMax,12/10/2005 12:19,12/10/2005 12:19,12/10/2005 12:19,12/10/2005 12:19,4,4,,1,0,0,1,,
14059,5ey2xUDZTA,"Unit CTA1_15, Section CTA1_15-3",SYS06,1,R5C3,21/10/2005 12:39,21/10/2005 12:39,,21/10/2005 12:39,0.7,,0.7,0,2,0,0,,
14366,5ey2xUDZTA,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE5TRE,1,Point 1.1,09/11/2005 12:31,09/11/2005 12:31,,09/11/2005 12:32,56,,56,0,0,29,0,Correctly placing points,5
14586,5ey2xUDZTA,"Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2",EG-FACTOR28,1,c-factor-1,18/11/2005 12:26,18/11/2005 12:28,18/11/2005 12:28,18/11/2005 12:28,68,68,,1,0,0,1,,
14993,5ey2xUDZTA,"Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1",EG-S-FACTOR17,1,b-factor-node,07/12/2005 12:23,07/12/2005 12:23,07/12/2005 12:23,07/12/2005 12:23,2,2,,1,0,0,1,,
15312,5ey2xUDZTA,"Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1",NEWQUAD3TRE,1,-(16)(x^2)+48x+0 = 20,04/01/2006 12:24,04/01/2006 12:24,04/01/2006 12:24,04/01/2006 12:24,9,9,,1,0,0,1,,
15389,5ey2xUDZTA,"Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-2",EG-EPS07,2,constant factors1R1,04/01/2006 12:34,04/01/2006 12:34,04/01/2006 12:34,04/01/2006 12:34,1,1,,1,0,0,1,,
15799,5ey2xUDZTA,"Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-3",EG-EQS02,4,row3-N-x,13/01/2006 12:31,13/01/2006 12:31,13/01/2006 12:31,13/01/2006 12:31,12.5,,12.5,0,2,0,1,,
16026,5ey2xUDZTA,"Unit CTA1_20, Section CTA1_20-2",1PTFB10,1,R2C1,09/02/2006 12:26,09/02/2006 12:26,09/02/2006 12:26,09/02/2006 12:26,5,5,,1,0,0,1,Identifying units,127
16348,5ey2xUDZTA,"Unit CTA1_21, Section CTA1_21-3",FEB07,1,yMax,22/02/2006 12:27,22/02/2006 12:28,22/02/2006 12:28,22/02/2006 12:28,7,7,,1,0,0,2,Changing axis bounds,70
16525,5ey2xUDZTA,"Unit CTA1_22, Section CTA1_22-1",SYSFB07,1,R5C1,01/03/2006 12:35,01/03/2006 12:35,01/03/2006 12:35,01/03/2006 12:35,8,8,,1,0,0,1,"Using large numbers~~Find X, positive slope~~Using difficult numbers",117~~56~~90
16620,5ey2xUDZTA,"Unit ES_06, Section ES_06-1",EG63A,3,-466.84(x-618.18)-611.16 = -454.63-730.47x*(-482/(-554x)-442.23),03/03/2006 12:43,03/03/2006 12:43,03/03/2006 12:43,03/03/2006 12:43,5,5,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",22
16704,5ey2xUDZTA,"Unit CTA1_24, Section CTA1_24-1",PERCENT07,1,R7C1,08/03/2006 12:23,08/03/2006 12:23,08/03/2006 12:25,08/03/2006 12:25,65,,65,0,4,3,1,Entering a given,359
16869,5ey2xUDZTA,"Unit CTA1_25, Section CTA1_25-1",REAL36,1,3X = 1800,10/03/2006 12:43,10/03/2006 12:43,10/03/2006 12:43,10/03/2006 12:43,4,4,,1,0,0,1,"[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]",106~~189
17093,5ey2xUDZTA,"Unit CTA1_26, Section CTA1_26-1",PERCENT02,1,R2C1,17/03/2006 12:22,17/03/2006 12:22,17/03/2006 12:22,17/03/2006 12:22,2,2,,1,0,0,1,Identifying units,216
17334,5ey2xUDZTA,"Unit CTA1_27, Section CTA1_27-1",PERCENT10,2,R7C1,29/03/2006 12:18,29/03/2006 12:19,29/03/2006 12:20,29/03/2006 12:20,67,,67,0,2,0,1,"Using difficult numbers~~Using small numbers~~Find X, Simple",159~~260~~29
18566,5ey2xUDZTA,"Unit QuadLinearFuncTrans, Section QLFuncTrans9",TRANSFORMN001,2,ParentDescChoice,12/05/2006 09:52,12/05/2006 09:52,12/05/2006 09:52,12/05/2006 09:52,4,,4,0,1,0,1,Identify Parent Description,123
19200,6W08a98ZQV,"Unit ES_02, Section ES_02-8",EG41,2,FinalAnswer,16/09/2005 12:34,16/09/2005 12:34,16/09/2005 12:34,16/09/2005 12:34,14,14,,1,0,0,1,perform-mult-sp,9
19384,6W08a98ZQV,"Unit CTA1_13, Section CTA1_13-1",PROP10,1,R1C2,07/10/2005 12:31,07/10/2005 12:32,07/10/2005 12:32,07/10/2005 12:32,20,20,,1,0,0,1,,
19835,6W08a98ZQV,"Unit CTA1_06, Section CTA1_06-3",FOR05,2,XLabel,23/11/2005 12:30,23/11/2005 12:31,23/11/2005 12:33,23/11/2005 12:33,93,,93,0,2,0,1,Labelling the axes,33
20340,6W08a98ZQV,"Unit ES_03, Section ES_03-6",EG52A,1,constant termsR2,03/02/2006 12:46,03/02/2006 12:46,03/02/2006 12:46,03/02/2006 12:46,3,3,,1,0,0,1,,
20727,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-3",REAL37,1,Formula 1 Coeff 0,24/03/2006 12:38,24/03/2006 12:38,24/03/2006 12:38,24/03/2006 12:38,3,3,,1,0,0,1,Setting the y-intercept,19
21074,6W08a98ZQV,"Unit ES_04, Section ES_04-14",LIT33A,1,17/c = c*x/c,03/05/2006 12:38,03/05/2006 12:38,03/05/2006 12:38,03/05/2006 12:38,8,8,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],63
21263,6W08a98ZQV,"Unit CTA1_10, Section CTA1_10-2",DIST03_SP,3,R4C1,01/06/2006 12:34,01/06/2006 12:36,01/06/2006 12:37,01/06/2006 12:37,116,,116,0,1,0,1,Entering a given,177
21616,8o0mJnIpFH,"Unit CTA1_06, Section CTA1_06-3",JAN05,2,R5C1,22/09/2005 10:52,22/09/2005 10:53,22/09/2005 10:53,22/09/2005 10:53,19,,19,0,1,0,1,"Using simple numbers~~Using large numbers~~Find X, positive slope",24~~15~~18
22178,8o0mJnIpFH,"Unit ES_03, Section ES_03-6",EG51A,2,constant termsR2,28/10/2005 12:24,28/10/2005 12:27,28/10/2005 12:27,28/10/2005 12:27,196,196,,1,0,0,1,,
22320,8o0mJnIpFH,"Unit CTA1_08, Section CTA1_08-2",FEB03,1,yMin,04/11/2005 12:04,04/11/2005 12:04,04/11/2005 12:04,04/11/2005 12:04,6,6,,1,0,0,1,Changing axis bounds,98
22862,8o0mJnIpFH,"Unit ES_04, Section ES_04-15",LIT58,1,7+y*(b+n) = r+f,06/01/2006 12:31,06/01/2006 12:31,06/01/2006 12:31,06/01/2006 12:31,4,4,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",70
23277,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-5",DISTFB08_SP,1,R3C2,31/03/2006 12:37,31/03/2006 12:38,31/03/2006 12:39,31/03/2006 12:39,155,,155,0,4,8,1,"Using simple numbers~~Write expression, positive slope~~Using large numbers",78~~45~~56
23522,8o0mJnIpFH,"Unit ES_07, Section ES_07-4",LIT63A,1,n*t-h*r = c*j+z*n,,10/05/2006 12:43,10/05/2006 12:43,10/05/2006 12:43,,,,0,0,3,1,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]",228
23621,8o0mJnIpFH,"Unit CTA1_12, Section CTA1_12-2",SYS03,1,R3C3,25/05/2006 12:50,25/05/2006 12:50,25/05/2006 12:51,25/05/2006 12:51,52,,52,0,6,0,1,"Using simple numbers~~Using small numbers~~Write expression, positive slope",94~~104~~55
23660,8rsfNQdio8,"Unit CTA1_01, Section CTA1_01-2",BH1T24B,1,R1C1,07/09/2005 12:51,07/09/2005 12:51,07/09/2005 12:51,07/09/2005 12:51,10,10,,1,0,0,1,,
23901,8rsfNQdio8,"Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2",YGT5X+12,1,GraphButton1,14/09/2005 12:47,14/09/2005 12:47,14/09/2005 12:47,14/09/2005 12:47,1,1,,1,0,0,1,,
24310,8rsfNQdio8,"Unit CTA1_15, Section CTA1_15-3",SYS06,1,R3C3,23/09/2005 12:47,23/09/2005 12:47,23/09/2005 12:47,23/09/2005 12:47,40,40,,1,0,0,1,"Using simple numbers~~Write expression, positive slope~~Using large numbers",35~~16~~20
24525,8rsfNQdio8,"Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1",NEWSQUARE7TRE,1,xMin,05/10/2005 12:47,05/10/2005 12:48,05/10/2005 12:48,05/10/2005 12:48,60,60,,1,0,0,2,Changing axis bounds,51
24748,8rsfNQdio8,"Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2",EG-FACTOR21,1,c-factor-1,14/10/2005 12:49,14/10/2005 12:49,14/10/2005 12:49,14/10/2005 12:49,6.5,6.5,,1,0,0,2,,
25272,8rsfNQdio8,"Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1",EG-S-FACTOR07,1,b-factor-node,28/10/2005 12:16,28/10/2005 12:16,28/10/2005 12:16,28/10/2005 12:16,2,2,,1,0,0,1,,
25833,8rsfNQdio8,"Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1",NEWQUAD11TRE,2,den1-factor-node,09/12/2005 13:08,09/12/2005 13:08,09/12/2005 13:08,09/12/2005 13:08,8,8,,1,0,0,1,qft-den-sp,33
25902,8rsfNQdio8,"Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-3",EG-EPS03,1,(3(x^3)(y^4))(y^3),14/12/2005 12:15,14/12/2005 12:15,14/12/2005 12:15,14/12/2005 12:15,4,4,,1,0,0,1,,
26150,8rsfNQdio8,"Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-3",EG-EQS03,2,row3-D-x,16/12/2005 12:25,16/12/2005 12:25,16/12/2005 12:25,16/12/2005 12:25,7,,7,0,1,0,1,,
26398,8rsfNQdio8,"Unit CTA1_20, Section CTA1_20-2",2PTFB19,1,R4C1,11/01/2006 12:36,11/01/2006 12:37,11/01/2006 12:37,11/01/2006 12:37,10,10,,1,0,0,1,Entering a given,202
26678,8rsfNQdio8,"Unit CTA1_21, Section CTA1_21-2",BH1T49,1,XUnit,27/01/2006 12:44,27/01/2006 12:44,27/01/2006 12:44,27/01/2006 12:44,4,4,,1,0,0,1,,
26877,8rsfNQdio8,"Unit CTA1_22, Section CTA1_22-1",SYS19,1,R5C2,09/02/2006 12:44,09/02/2006 12:44,09/02/2006 12:44,09/02/2006 12:44,12,12,,1,0,0,1,Entering a given,245
27032,8rsfNQdio8,"Unit ES_06, Section ES_06-1",EG63A,6,262.08713693+184964.494x = 230.09x-133265.8271+84.3,15/02/2006 09:31,15/02/2006 09:31,15/02/2006 09:31,15/02/2006 09:31,4,4,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],16
